username,handle,postDate,responding,retweets,likes
Marca Zonal,@Marca_Zonal,2021-02-08T20:45:59.000Z,"Joshua Kimmich fue el mejor hoy. Ha hecho 6 pases claves, tuvo contacto con 144 balones, realizó +100 pases precisos, regateó 2/2 con exito, y ganó 5/8 duelos. Un robot que opera sin parar, que buscará ganar el Mundial de Clubes ",1,8
LUZ,@Luzanahig,2021-02-02T14:58:57.000Z,"1- Mr robot
2- Breaking bad
3-  Dark
4- The office
5- GOT",,1
Lida,@starstokarol,2021-01-13T23:46:11.000Z,"Llegara el día en que van a entender que un artista no es un robot? Que no siempre debe acertar en todo , que siente y vive igual por el simple hecho de que es una persona al igual que nosotros, estoy apoyando a la persona correcta  
@karolsevilla
 ",,1
Paul,@Paulrivas_,2021-01-04T12:36:13.000Z,"Replying to 
@elcosodelapizza",8,171
Gerar González,@gerargp,2020-12-29T17:19:15.000Z,"Esto es en serio? Pasa de largo el jugador  el var va a ser útil cuando lo manejen robots, no los mismo inútiles que están en cancha fecha a fecha",,1
CosmoSapiens,@cosmosapiens_,2020-12-28T20:26:48.000Z,"¡Marte es un planeta habitado! Pero por robots.

En la imagen se pueden apreciar las huellas que dejó el rover Curiosity  mientras atravesaba una zona bautizada ""Dingo Gap"" en febrero de 2014 durante su sol (día marciano) número 538.

-->",6,24
Antonio Amarilla J,@zp5paa,2020-12-26T23:56:09.000Z,Un robot que ayuda a bombear los corazones enfermos | Cinco Noticias https://cinconoticias.com/inventan-un-robot-que-ayuda-a-bombear-los-corazones-enfermos/amp/…,,
LUZ,@Luzanahig,2020-12-24T11:58:40.000Z,"Hoy hace 1 año que vi el final de Mr robot y todavía no puedo superar, es la mejor serie de la historia, recuerdo que me pasé llorando en la noche buena ",,2
Octavio,@OctaMelga,2020-12-21T04:58:53.000Z,"Replying to 
@RodriiiPeralta",,1
LUZ,@Luzanahig,2020-12-20T19:58:09.000Z,"Me da miedo como no pestañea, parece un robot sexual.",,3
Jorge E. dos Santos,@jdspy,2020-12-16T02:33:14.000Z,"Replying to 
@personalpy",,
Nery Edwards,@neryedwards,2020-12-06T21:09:46.000Z,"Replying to 
@EssapSA",,
Antonio Amarilla J,@zp5paa,2020-12-06T12:49:33.000Z,The robot kitchen that will make you dinner – and wash up too,,
alessandra,@alexia_boo,2020-11-29T06:50:25.000Z,"Llamas a la 
@ANDEOficial
 y la chica parece un robot, 0 empatia, 0 seguridad te da, 0 todo.
Que hice para merecer y nacer en éste país tan porquería? Todo está mal, todo, todo. Hasta el calor del orto de éste país odio, TODO!",,
Urbana 106.9 FM,@Urbana1069,2020-11-23T13:47:01.000Z,"Ha llegado la última canción escrita por un robot de Inteligencia Artificial, usando una canción del rapero Eminem.

La misma se trata de un tema de rap cuya letra critica al CEO de Facebook, Mark Zuckerberg.

https://urbana.com.py/un-robot-de-inteligencia-artificial-critica-a-mark-zuckerberg-al-estilo-de-eminem/…",,1
Javi López Ⓥ,@jaloverde,2020-11-19T00:39:26.000Z,"The Robots - 2009 Remaster de Kraftwerk
https://open.spotify.com/track/5eqZWYQ5tbIehx00NeKXz7?si=nmr0SQJpTDmOin8JqK9Dtw…",,
Olga Torres,@olgatorres540,2020-11-18T14:54:25.000Z,"Replying to 
@UltimaHoracom",,1
Capibarista,@PMFlecha,2020-11-17T18:07:38.000Z,"Replying to 
@scazal",,
Reginald Hargreaves,@Radditzpy,2020-11-17T12:26:39.000Z,"Hola no me pensás saludar hija de mil putas?
Soy una persona no un robot",3,11
Javi López Ⓥ,@jaloverde,2020-11-04T21:34:38.000Z,"The Robots - 2009 Remaster de Kraftwerk
https://open.spotify.com/track/5eqZWYQ5tbIehx00NeKXz7?si=Y66Q_3YKTW-v3dWue0W71Q…",,1
camilo guanes,@camilogs,2020-11-03T01:42:29.000Z,"Imagineering  Realistic and Interactive Robot Gaze https://youtu.be/D8_VmWWRJgE vía 
@YouTube",,
GUSARAM,@gustavoarambulo,2020-10-30T16:26:15.000Z,Este personaje nos hizo dormir en central con su pasito de robot.... gran sinvergüenza ,,1
CosmoSapiens,@cosmosapiens_,2020-10-29T23:13:40.000Z,"Replying to 
@Tato_Cantero
 and 
@MarcosCantero2",,
CARLOS D. GIACOMUZZI,@GIACOMUZZICARLO,2020-10-25T01:46:06.000Z,"Replying to 
@EmmanuelMerchan
 and 
@oppenheimera",,
Gabo Alegre,@gabalero,2020-10-11T14:43:51.000Z,"Modo robot 
@RafaelNadal",,2
Sardonico,@brunoangulo,2020-10-10T13:08:21.000Z,"Replying to 
@aisman6",,3
Adrián Céspedes,@randallflagg,2020-10-09T17:04:04.000Z,"Replying to 
@Javoff",,2
