username,handle,postDate,responding,retweets,likes
Mariano,@Mariano31975056,2021-03-10T15:40:37.000Z,"Este Marito es boludo de nacimiento, HC le dijo bièn que Brunetti al MEC, pero le envió al MITIC, menos mal ahora corrigió, pero ya ligó un apysarapó ",,2
GENIA PARRILLERA,@danna_arias_hc,2021-03-10T10:35:30.000Z,"Replying to 
@ambarbogado
 and 
@KureDumas",,
ADRIÁN ALMIRÓN,@amalmiron,2021-03-09T22:29:58.000Z,"Abogo porque el próximo Ministro de MITIC tenga el perfil técnico y la experiencia que se requiere para el alto cargo. 
Necesitamos técnicos con visión y capacidad de gestión pública.",10,18
Sofía Céspedes Herrera,@sofi_cespedesh,2021-03-09T22:16:53.000Z,"Villamayor vio por dos segundos la cartera del MITIC libre, y quiso volver a la arena polítika.",,1
Jorge Bogarín Alfonso,@JorgeBogarinPY,2021-02-24T17:04:24.000Z,"Día histórico !! 
Seguimos trabajando !!! 
Firma del convenio entre el MITIC y 
@Jem_py
!! 

Convencidos que la tecnología es un elemento fundamental para lograr la transparencia y fomentar la seguridad jurídica",3,19
Chiqui Avalos,@chiqui_avalos,2021-02-22T22:26:34.000Z,"El MITIC es una de las instituciones mas inutiles En 3 años sin meritos salvo un presupuesto de U$ 130 millones, de cuyo destino nada se sabe
El ministro Peralta Vierci fue salvado por Marito, miembro de su entorno instalando a JM Brunetti en otro enroque politico ""a medida.",40,85
Federico Osorio,@federicoosorio7,2021-02-21T15:19:53.000Z,"Replying to 
@federicoosorio7
 @LizzaSales
 and 
@mitic",,2
Federico Osorio,@federicoosorio7,2021-02-21T15:05:59.000Z,"Replying to 
@LizzaSales
 and 
@mitic",,3
Lizza Sales,@LizzaSales,2021-02-21T14:32:39.000Z,"El q más sabe de los proyectos q marcarán historia ahí en 
@mitic
 es el ex Director General 
@federicoosorio7
, quien configuró el MITIC y lastimosamente Peralta Vierci se desvió de lo q él le diseñó y se cansó diciéndole que a los que trajo no entendían la visión Estado y Política",2,4
Carlos Scura G,@ScuraCarlos,2021-02-13T19:39:09.000Z,"Replying to 
@chiqui_avalos",,
Bruno González Dávalos,@GonzBruno,2021-02-13T17:27:02.000Z,Mitic con nuevo rumbo,,
Christian Stanley,@CStanleyZ,2021-02-11T16:41:35.000Z,"Replying to 
@ERepublicano3
 @julioullon
 and 
@oscarodriguezpy",,2
Aníbal Coronel,@ANIBALCORO,2021-02-11T02:59:05.000Z,"#Politikeando #DicenQue
Me contaron también que al tal 
@luistriguis
, uno de los principales asesores en comunicación de Nenecho le ofrecieron ser Viceministro de MITIC, para abandonar al actual intendente, él rechazó la propuesta.",3,15
#GVAN,@AJSmiths,2021-02-10T19:35:18.000Z,"Replying to 
@guilleramirez",,
Pedro Lacasa,@PedroLacasa,2021-01-14T11:10:37.000Z,"Replying to 
@PepiOxilia",,
MarcoAntonio,@markix_gal,2020-12-29T04:33:42.000Z,Ya no se más si Telefuturo es el espacio del Mitic o el Mitic una productora para Telefuturo....,,1
Victor Vouga,@victor_vouga,2020-12-10T01:52:56.000Z,"Replying to 
@LuisVillamayorA",,
Osmar Henry,@osmarhenry_,2020-11-22T02:49:59.000Z,"Dos son los pelos de la fibra óptica de este tramo están destinados al MITIC.

A inicios del año que viene, se realizará la conexión de escuelas al troncal, para que tengan internet gratuito.",,
Rodrigo Gamarra,@rodrigamarrak,2020-11-16T04:02:00.000Z,"Que puede opinar una abortista sobre VIVIR Y RESPIRAR? ahora de billetera si se nota que sabe , defendiendo al gobierno corrupto de su patrón con tal de seguir saqueando a 10 manos desde el Mitic 
#incendiariaDeIglesias
#telofacturo",4,18
Hugo Roa,@hugoroa6,2020-10-12T20:42:23.000Z,"Replying to 
@nanduti
 and 
@PaloRubin",,
R𝒪VER,@HemlogKeiku,2020-10-02T19:01:52.000Z,"Combo completo de la política paraguaya hoy

1-Marito desaparece durante las crisis en el país que ""gobierna"" pero aparece para apoyar a Trump
2-Marly reapareció sólo para reirse de todos y
3-El MITIC laburó x 1ra vez, pero sólo para eliminar las redes de Carlitos Rejala.",3,3
Seba Garcia,@sebagar8,2020-09-24T23:48:32.000Z,"Replying to 
@pabloclu
 and 
@DanielChen100",,2
Lucky Hermosa,@arquiferrari,2020-09-21T16:48:49.000Z,"Replying to 
@tornacojoseluis",,1
ELugoGaray #25322,@edgar640102,2020-09-21T00:45:03.000Z,"Replying to 
@sebagar8",,
Miguel Martin,@mmartinpy,2020-09-09T17:35:36.000Z,Además el MITIC solicitó al Registro civil que se expida sobre la existencia o no de actas digitalizadas anteriormente.. a lo que respondieron por nota que no existía más nada de lo que fue digitalizado porque se perdió. Por de pronto el proyecto fue suspendido.,,
Miguel Martin,@mmartinpy,2020-09-09T17:35:36.000Z,"El proyecto digitalización del 
@registrocivilpy
 es un proyecto elaborado por esa institución y avalado por el 
@MJusticiaPy
 quien solicita al 
@Miticpy
 su inclusión en la Agenda Digital. El Equipo técnico del MITIC sólo evalúa que la tecnología propuesta sea acorde. [HILO]",,
Roy Appel #25034,@appel_roy,2020-09-05T20:41:23.000Z,"Alguien debería demandarle a Peralta Vierci por el papelón del MITIC. En todo caso que ponga de su bolsillo lo que se perdió bajo su gestión. Que carajos les pasa a Uds que piensan hacer vito del dinero público. En  estarías fuera y procesado por la justicia. 
@SergioCoscia",,1
Carlos Alberto Gómez,@CarlosGomezPy,2020-09-04T02:04:45.000Z,Cc: Alejandro Peralta Vierci (MITIC) y al farandulero Lucas Balmelli.,14,25
Miguel Ángel Gaspar,@MigueGaspar,2020-08-31T02:38:08.000Z,"Replying to 
@angatupyrytau
 @teraguapy
 and 5 others",,1
Manuel Cuenca,@manuelcuenca,2020-07-12T16:17:59.000Z,funcionario-del-mitic-da-positivo-a-coronavirus-y-piden-autorreporte-de-contactos/,,
Manuel Cuenca,@manuelcuenca,2020-07-10T23:03:15.000Z,un-segundo-contagiado-de-coronavirus-se-confirma-en-el-seno-del-mitic,1,1
Angélica Lorena Giménez,@angelicagesama,2020-07-09T19:09:56.000Z,"#URGENTE Un funcionario de MITIC, con funciones en predio de la TV Pública, dio positivo a COVID19. Otros 6 funcionarios fueron sometidos a la prueba y se aguardan los resultados. 

MITIC decidió el cierre de esta dependencia por un plazo de 48 hs 
@Universo970py",32,19
César Jiménez,@cesar_jiimenez,2020-06-30T15:16:45.000Z,"Replying to 
@santipy",,
Chiqui Avalos,@chiqui_avalos,2020-06-29T23:42:23.000Z,"El Viceministro del MITIC, Martin disfrutando ayer en la Costanera, de un dia soleado y sin las precauciones ordenadas por el propio gobierno.
Si ellos no cumplen con#quedateencasa.
Como se le exige al comun que lo haga?.",57,77
Rocío La Negra,@Rocio_La_Negra,2020-06-21T22:02:30.000Z,"Replying to 
@Rocio_La_Negra
 @HugoPortilloPY
 and 4 others",,
Agenda Paraguay,@agparaguay,2020-06-16T15:57:49.000Z,"El debate se desarrolla estudiantes, proveedoras, MEC, MH, MITIC, CONATEL. Uno de los pytos fue presentado por 
@LilianSamaniego
 quien dijo q tiene por objetivo incentivar mediante del acceso gratuito a internet el uso de plataformas online p/capacitaciones, formación y educación""",,
JEMIMA,@jemima_py,2020-04-21T04:28:02.000Z,Cuanto lo que cuesta tenerles en el MITIC?,,
Víctor Cartes,@cartesv,2020-04-20T03:13:49.000Z,"Según dijo hoy Carla Bacigalupo, el sector textil se levantó y está mejor que antes por la posibilidad de hacer tapabocas. 
Asusta lo desorientadas que están las carteras de Trabajo, Industria y Comecio, Educación y el MITIC en el momento en que más se necesitan sus acciones.",24,64
Fatima Vielman,@FatimaVielman,2020-04-18T12:04:13.000Z,"Ya tienen MITIC, por eso no les afecta mucho.
Pero la justicia tarda , pero llega !!!! ",,1
Radio Nacional AM,@rnpy920am,2020-04-16T13:51:12.000Z,"Viceministro de 
@Miticpy
, 
@mmartinpy
. Mitic sigue  desarrollando nuevas funcionalidades de plataforma virtual  para realizar un seguimiento eficiente y cercano a las personas que deben guardar cuarentena por #COVID19 en Paraguay.
  http://bit.ly/3d9UVQj",1,1
Guido Ruiz Díaz,@guidoruizar,2020-04-15T00:35:40.000Z,"Fundación Paraguaya ofreció canal online para desarrollar contenido gratuito pero recibió ""portazo"" del MEC y MITIC.

https://hoy.com.py/nacionales/fundacion-ofrecio-canal-online-para-desarrollar-contenido-gratuito-pero-recibio-portazo-del-mec-y-mitic…",,1
Leonardo Gómez Berniga,@leoberniga,2020-04-14T06:43:32.000Z,"Replying to 
@sergorue",,
Oscararena1,@Oscararena11,2020-04-10T02:26:46.000Z,Estos genios del mitic pío q carajo lo que hacen.. están más al pedo que Ariel oviedo,2,8
Carlos María Ruiz G.,@CarlosMariaRui2,2020-04-08T02:10:35.000Z,"Replying to 
@melizeche",,3
Miguel Martin,@mmartinpy,2020-04-07T23:02:54.000Z,Nos ayudamos todos! Entregamos en prestamo a la UNA nuestra impresora 3D con sus insumos para apoyar el trabajo que vienen realizando en la producción de protectores para el personal sanitario. #mitic #covid-19,3,10
riki,@_rikisan,2020-01-07T09:55:48.000Z,"MITIC ""Automatiza"" notificacion de indicadores de incidentes ""cibernéticos""  muy 1996 es su título (?)",,1
Miguel Martin,@mmartinpy,2019-12-18T11:18:27.000Z,Con las capacitaciones que estamos brindando en varía áreas de tecnología en el Chaco buscamos reducir la brecha digital dando las mismas herramientas y conocimientos a todos los paraguayos sobre todo a aquellos que por años han estado olvidados! #mitic https://lanacion.com.py/pais/2019/12/17/brindan-capacitaciones-en-alfabetizacion-digital-y-robotica-en-el-chaco/…,5,15
sante vallese,@vallesesante,2019-11-19T21:55:01.000Z,"Participando como Copaco Vox en el lanzamiento Oficial del informativo de la OEA ^ OEA NEWS""  con la presencia del Secretario General de la OEA,   Dr Luis Almagro y del Ministro MITIC Alejandro Peralta Vierci. El mismo se podra ver en el canal 17 CANAL U del Iptv de Copaco.",1,9
Venus Media,@venusmedia,2019-11-19T15:51:33.000Z,"Se realizó el lanzamiento del informativo de la 
@OEA_oficial
 y la firma del convenio con la Unión de Radiodifusores del Paraguay, en donde asistieron el Ministro del MITIC, Alejandro Peralta, el secretario General de la OEA, Dr. Luis Almagro y otras autoridades ",,1
Niels Birbaumer,@nielsbirbaumer,2019-11-16T18:54:45.000Z,"Yo no comprendo, el MITIC les abre las puertas y literalmente te cagas en ellos por la firma que finalmente si pudiste corroborar? Trabajen juntos loco, no hace falta dividir más el país.",,1
Niels Birbaumer,@nielsbirbaumer,2019-11-06T20:31:04.000Z,"Replying to 
@angatupyrytau",,
Susan Paradeda,@SusanParadeda,2019-11-05T12:02:15.000Z,Denuncian improvisación y arbitrariedad en la conducción del MITIC,,1
Blanca Arguello,@BlancaArguello_,2019-11-01T20:39:07.000Z,"Replying to 
@AM_1080
 and 
@LuisBareiro",,
Rocío La Negra,@Rocio_La_Negra,2019-10-25T15:28:47.000Z,"Protesta pacífica por las reivindicaciones de los empleados de Radio Nacional del Paraguay.
Ollas populares para compartir 
Muchos de ellos no llegan al salario mínimo.
Mientras el MITIC premia con jugosos salarios a los funcionarios Vip.",,3
Ingrid Villalba,@ivillalbapy,2019-09-25T11:39:32.000Z,"Con relación a publicaciones realizadas respecto a temas salariales, desde MITIC aclaramos cuanto sigue:",1,
Roy Appel #25034,@appel_roy,2019-09-20T21:48:40.000Z,"Replying to 
@El_Padrillo_R
 @MaritoAbdo
 and 
@mopcparaguay",1,3
Beto Martínez Gumarelo.,@betopnmr30,2019-09-17T12:00:37.000Z,"Replying to 
@anibalgomezcab
 @fernandoSP81
 and 
@MaritoAbdo",1,1
